3.63E+02	0.71	0	1.018609
1.21E+03	0.71	0	1.159601
6.92E+03	0.71	0	1.993732
1.78E+04	0.71	0	2.683227
1.73E+05	0.71	0	5.327883
8.13E+05	0.71	0	8.332342
2.14E+06	0.71	0	10.90271
6.17E+06	0.71	0	14.53975
2.95E+07	0.71	0	22.05562
7.08E+07	0.71	0	27.7455
1.00E+05	0.0017	0	3.066767
1.00E+05	0.0042	0	3.150197
1.00E+05	0.0074	0	3.228264
1.00E+05	0.013	0	3.334194
1.00E+05	0.022	0	3.463042
1.00E+05	0.041	0	3.64746
1.00E+05	0.13	0	4.003
1.00E+05	0.45	0	4.387611
1.00E+05	1.37	0	4.650828
1.00E+05	240	0	4.726678
1.00E+05	0.71	0.2	4.578079
1.00E+05	0.71	0.4	4.660568
1.00E+05	0.71	0.6	4.567452
1.00E+05	0.71	0.78	2.308869
1.00E+05	0.71	0.82	1.411707
1.00E+05	0.71	0.88	0.4504332
1.00E+05	0.71	0.91	0.1973945
1.00E+05	0.71	0.94	0.07769383
1.00E+05	0.71	0.965	0.0374628
1.00E+05	0.71	0.985	0.01507944
