1.00E+01	0.71	0	1.000015
5.00E+01	0.71	0	1.000365
2.00E+02	0.71	0	1.005784
3.00E+02	0.71	0	1.01285
4.00E+02	0.71	0	1.022452
5.00E+02	0.71	0	1.034335
6.00E+02	0.71	0	1.048213
7.00E+02	0.71	0	1.063787
8.00E+02	0.71	0	1.080766
9.00E+02	0.71	0	1.098876
1.20E+03	0.71	0	1.157643
1.50E+03	0.71	0	1.219364
2.00E+03	0.71	0	1.321123
3.00E+03	0.71	0	1.504528
5.00E+03	0.71	0	1.789201
7.00E+03	0.71	0	2.001615
2.00E+04	0.71	0	2.780533
3.00E+04	0.71	0	3.14308
3.00E+05	0.71	0	6.264391
3.00E+06	0.71	0	11.95858
2.00E+08	0.71	0	36.32989
1.00E+05	0.002	0	3.07891
1.00E+05	0.005	0	3.171643
1.00E+05	0.007	0	3.219461
1.00E+05	0.015	0	3.366323
1.00E+05	0.02	0	3.437441
1.00E+05	0.03	0	3.549962
1.00E+05	0.07	0	3.816014
1.00E+05	0.1	0	3.92835
1.00E+05	0.15	0	4.04492
1.00E+05	0.3	0	4.257981
1.00E+05	0.5	0	4.421305
1.00E+05	1	0	4.603972
1.00E+05	3	0	4.710727
1.00E+05	5	0	4.722842
1.00E+05	50	0	4.729585
1.00E+05	100000	0	4.730113
1.00E+01	0.05	0	1.000015
5.00E+01	0.05	0	1.000365
2.00E+02	0.05	0	1.00576
3.00E+02	0.05	0	1.012744
4.00E+02	0.05	0	1.022169
5.00E+02	0.05	0	1.03375
6.00E+02	0.05	0	1.047183
7.00E+02	0.05	0	1.062163
8.00E+02	0.05	0	1.078393
9.00E+02	0.05	0	1.095606
1.20E+03	0.05	0	1.150875
1.50E+03	0.05	0	1.20811
2.00E+03	0.05	0	1.300936
3.00E+03	0.05	0	1.463985
5.00E+03	0.05	0	1.707392
7.00E+03	0.05	0	1.882209
2.00E+04	0.05	0	2.482306
3.00E+04	0.05	0	2.744106
3.00E+05	0.05	0	4.930587
3.00E+06	0.05	0	9.143603
2.00E+08	0.05	0	28.35232
1.00E+08	0.07	0	24.32612
1.00E+08	0.1	0	25.10701
1.00E+08	0.15	0	26.06997
1.00E+08	0.3	0	28.65723
1.00E+08	0.5	0	29.54962
1.00E+08	1	0	30.9254
1.00E+08	3	0	31.77973
1.00E+08	5	0	31.89241
1.00E+08	50	0	31.98613
1.00E+08	100000	0	31.99099
1.00E+06	0.002	0	4.909856
1.00E+07	100	0	17.37648
1.00E+07	100000	0	17.37681
1.00E+06	100	0	9.236681
1.00E+06	100000	0	9.236857
1.00E+04	100	0	2.2753
2.00E+08	10	0	38.31167
2.00E+08	100	0	38.34325
2.00E+08	100000	0	38.39032
1.00E+01	0.01	0	1.000015
1.00E+01	0.001	0	1.000015
1.00E+01	100	0	1.000015
1.00E+01	10	0	1.000015
1.00E+08	0.71	0.99	0.2687389
1.00E+08	0.71	0.98	2.075509
1.00E+08	0.71	0.97	6.592473
1.00E+08	0.71	0.96	13.55211
1.00E+08	0.71	0.95	20.6806
1.00E+08	0.71	0.92	29.08321
1.00E+08	0.71	0.9	30.1271
1.00E+08	0.71	0.85	30.60036
1.00E+08	0.71	0.8	30.4949
1.00E+08	0.71	0.7	30.34778
1.00E+08	0.71	0.5	30.37925
1.00E+08	0.71	0.3	30.3549
1.00E+08	0.71	0	30.35774
3.00E+07	0.71	0.99	0.0806764
3.00E+07	0.71	0.98	0.6288816
3.00E+07	0.71	0.97	2.078671
3.00E+07	0.71	0.96	4.707061
3.00E+07	0.71	0.95	8.427639
3.00E+07	0.71	0.92	18.50588
3.00E+07	0.71	0.9	20.91906
3.00E+07	0.71	0.85	22.23611
3.00E+07	0.71	0.8	22.36857
3.00E+07	0.71	0.7	22.26275
3.00E+07	0.71	0.5	22.20318
3.00E+07	0.71	0.3	22.18776
3.00E+07	0.71	0	22.15349
1.00E+07	0.71	0.99	0.02715017
1.00E+07	0.71	0.98	0.2102489
1.00E+07	0.71	0.97	0.7028714
1.00E+07	0.71	0.96	1.640424
1.00E+07	0.71	0.95	3.12135
1.00E+07	0.71	0.92	9.731861
1.00E+07	0.71	0.9	13.37477
1.00E+07	0.71	0.85	16.25498
1.00E+07	0.71	0.8	16.69725
1.00E+07	0.71	0.7	16.73391
1.00E+07	0.71	0.5	16.66221
1.00E+07	0.71	0.3	16.60349
1.00E+07	0.71	0	16.55186
1.00E+06	0.71	0.99	0.01031028
1.00E+06	0.71	0.98	0.02853794
1.00E+06	0.71	0.97	0.07564405
1.00E+06	0.71	0.96	0.1726667
1.00E+06	0.71	0.95	0.3364598
1.00E+06	0.71	0.92	1.308706
1.00E+06	0.71	0.9	2.432789
1.00E+06	0.71	0.85	6.010764
1.00E+06	0.71	0.8	8.142004
1.00E+06	0.71	0.7	8.96761
1.00E+06	0.71	0.5	8.997593
1.00E+06	0.71	0.3	8.928126
1.00E+06	0.71	0	8.830655
1.00E+05	0.71	0.99	0.01002826
1.00E+05	0.71	0.98	0.02019348
1.00E+05	0.71	0.97	0.03085062
1.00E+05	0.71	0.96	0.0428708
1.00E+05	0.71	0.95	0.05799009
1.00E+05	0.71	0.92	0.1456628
1.00E+05	0.71	0.9	0.266932
1.00E+05	0.71	0.85	0.8580501
1.00E+05	0.71	0.8	1.848971
1.00E+05	0.71	0.7	3.863915
1.00E+05	0.71	0.5	4.674012
1.00E+05	0.71	0.3	4.622935
1.00E+05	0.71	0	4.522563
1.00E+04	0.71	0.99	0.01002545
1.00E+04	0.71	0.98	0.02008843
1.00E+04	0.71	0.97	0.03022742
